experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
Mid-Level,Full-Time,Data Analyst,165000,AU,Medium
Mid-Level,Full-Time,Data Analyst,70000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,94444,IE,Medium
Senior-Level,Full-Time,Data Scientist,92700,US,Medium
Mid-Level,Full-Time,Research Engineer,150000,US,Medium
Mid-Level,Full-Time,Research Engineer,28888,PT,Medium
Executive-Level,Full-Time,Machine Learning Engineer,145000,US,Medium
Senior-Level,Full-Time,Data Scientist,130000,US,Medium
Senior-Level,Full-Time,Data Scientist,159832,US,Medium
Senior-Level,Full-Time,Data Engineer,160000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,198200,US,Medium
Senior-Level,Full-Time,Data Analyst,85000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,198094,GB,Medium
Entry-Level,Full-Time,Data Engineer,65000,US,Medium
Senior-Level,Full-Time,Data Scientist,160000,US,Medium
Senior-Level,Full-Time,Data Scientist,202600,US,Medium
Mid-Level,Full-Time,Data Engineer,140000,US,Medium
Senior-Level,Full-Time,Machine Learning Infrastructure Engineer,220000,US,Medium
Mid-Level,Full-Time,Data Scientist,144000,US,Medium
Senior-Level,Full-Time,Data Engineer,110500,US,Medium
Senior-Level,Full-Time,Analytics Engineer,147500,US,Medium
Entry-Level,Full-Time,AI Research Engineer,36940,GB,Large
Mid-Level,Full-Time,Machine Learning Engineer,174000,US,Medium
Mid-Level,Full-Time,Data Scientist,70000,US,Medium
Senior-Level,Full-Time,Data Scientist,225000,US,Medium
Senior-Level,Full-Time,Research Scientist,147100,US,Medium
Senior-Level,Full-Time,Analytics Engineer,275300,US,Medium
Senior-Level,Full-Time,BI Analyst,110000,US,Medium
Senior-Level,Full-Time,Data Engineer,123700,US,Large
Mid-Level,Full-Time,Data Analyst,59382,DE,Large
Senior-Level,Full-Time,Data Scientist,158677,US,Medium
Entry-Level,Full-Time,Data Scientist,28399,IN,Medium
Senior-Level,Full-Time,ML Engineer,151600,US,Medium
Entry-Level,Full-Time,Business Intelligence Analyst,53000,US,Medium
Senior-Level,Full-Time,AI Engineer,170200,US,Medium
Senior-Level,Full-Time,Data Analyst,36773,ES,Medium
Mid-Level,Full-Time,Research Scientist,212800,US,Large
Senior-Level,Full-Time,Data Analyst,136000,US,Medium
Senior-Level,Full-Time,Data Engineer,116455,US,Medium
